sno,NAME,LOCATION,capacity,LAT,LON,website,picture
1,Marine Drive,Mumbai,68000,18.94666,72.82456,,https://source.unsplash.com/1920x1080/?Marine Drive
2,Bandra-Worli Sea link,Mumbai,50000,19.02849,72.815315,,https://source.unsplash.com/1920x1080/?Sea link
3,Gateway of India,Mumbai,41820,18.92197,72.83456,,https://source.unsplash.com/1920x1080/?Indiagate
4,Kanheri Caves,Mumbai,25000,19.20799,72.90492,,https://source.unsplash.com/1920x1080/?Caves
5,Global  Vipassana Pagoda,Mumbai,32000,19.228142,72.805992,,https://source.unsplash.com/1920x1080/?Peace
6,Shree Sidhivinayak,Mumbai,40000,19.016899,72.830383,,https://source.unsplash.com/1920x1080/?Ganesh
7,Nariman Point,Mumbai,,19.06652,72.86735,,https://source.unsplash.com/1920x1080/?Nariman Point
8,Elephanta Caves,Mumbai,,18.963306,72.931526,,https://source.unsplash.com/1920x1080/?Elephanta Caves
9,Mani Bhavan Gandhi Museum,Mumbai,,18.959892,72.811523,,https://source.unsplash.com/1920x1080/?Gandhi Museum
10,Essel World,Mumbai,,19.2312,72.8062,,https://source.unsplash.com/1920x1080/?Mumbai Park
11,Wankhede Stadium,Mumbai,,18.938931,72.825851,,https://source.unsplash.com/1920x1080/?Wankhede Stadium
12,Colaba,Mumbai,,18.913023,72.819206,,https://source.unsplash.com/1920x1080/?Colaba
13,Chatrapati Shivaji Terminus,Mumbai,,18.9398,72.835503,,https://source.unsplash.com/1920x1080/?Shivaji Terminus
14,Water Kingdom,Mumbai,,19.23186,72.80674,,https://source.unsplash.com/1920x1080/?Water Kingdom
15,Viviana Mall,Mumbai,,19.208551,72.971832,,https://source.unsplash.com/1920x1080/?Viviana Mall
16,Red Carpet Wax Museum,Mumbai,,19.10004,72.916245,,https://source.unsplash.com/1920x1080/? Wax Museum
17,Chatrapati Shivaji Vastu Sangrahalaya,Mumbai,,18.92688,72.83265,,https://source.unsplash.com/1920x1080/?Shivaji Museum
18,Snow Kingdom,Mumbai,,19.098801,72.917061,,https://source.unsplash.com/1920x1080/?Snow Kingdom
19,Juhu Beach,Mumbai,,19.103127,72.824639,,https://source.unsplash.com/1920x1080/?Juhu Beach
20,Mount Mary Basilica,Mumbai,,19.046524,72.822517,,https://source.unsplash.com/1920x1080/?Church
